question,expected_ans,predicted_ans,reason,pass_fail,brand,ans_exp_1
Documentation to process a backdated property cancellation?,"Property -
Seller's Statement or Closing Disclosure including:
The Named Insured as the seller
Sale date
Location address or property description matching the location address or unit on the Foremost policy
Buyer's name
Note: Word documents and estimated settlement or closing statements are not acceptable.
Note: If the policy is being cancelled due to sale by an Executor of Estate or Trustee; the date to use is the date the property was actually sold to a third party, not the date the property transferred into the Estate or Trust.
Quitclaim, contract for deed, or Warranty deed
Insured's Lease Expired document or Notice to Vacate:
Documentation such as correspondence from the landlord or management company confirming a termination of contract.
Home settlement statement
Note: Estimated settlement statements or closing statements are not acceptable.
County website proof from netronline
Foreclosure documentation showing the date the lender took ownership of the property."," A valid cancellation request including:

The insured's name
The policy number(s) to be cancelled
The requested effective date of cancellation
The signature of either the Primary Named Insured (PNI) or theSecondary Named Insured (SNI)
Note: Signatures from out of household or excluded customersare not acceptable, even if they are
listed as a named insured ora spouse.
Note: Typed names are acceptable on an email request for
",Did not cover property documentation,Fail,Specialty,"To backdate a cancellation for a property or casualty policy more than 30 days, the following documents must be submitted: A valid cancellation request including: The insured's name, The policy number(s) to be cancelled, The requested effective date of cancellation, The signature of either the Primary Named Insured (PNI) or the Secondary Named Insured (SNI) [2]. Property: Seller's Statement or Closing Disclosure including: The Named Insured as the seller, Sale date, Location address or property description matching the location address or unit on the Foremost® policy, Buyer's name [2]. Insured's Lease Expired document or Notice to Vacate: Documentation such as correspondence from the landlord or management company confirming a termination of contract [2]. Some acceptable documents include a bill of sale, proof of another policy on the same property, death certificate, or proof of a total loss [3]. [1]."
How to add Loss Payee onto Recreational policy?,"From the main page of ForemostSTAR, click on the 'Search/Change Quote or Policy' tab.
Enter the 10-digit policy number in the 'Quote/Policy Number' field. Click ""Search"".
Click the 'Unit' tab (Example: Motorcycle, Off Road Vehicle, Watercraft).
Click on the unit you are making the change to.
Scroll down to the 'Additional Interest' field. Click 'Change'.
Input the Effective date of the change.
Make the desired changes. Click 'Continue'.
Click 'Issue Changes'."," From the main page of ForemostSTAR, click on the 'Search/Change Quote or Policy' tab.Enter the 10-digit policy number in the 'Quote/Policy Number' field. Click ""Search"".Click the 'Unit' tab (Example: Motorcycle, Off Road Vehicle, Watercraft).Click on the unit you are making the change to.Scroll down to the 'Additional Interest' field. Click 'Change'.Input the Effective date of the change.Make the desired changes. Click 'Continue'.Click 'Issue Changes'.
Note: Watercraft: How to add a loss payee to an engine?",,Pass,Specialty,"To add a Loss Payee to a casualty policy, you can follow these steps [1]: 1. Click ""Search"". 2. Click the ""Unit"" tab (e.g. Motorcycle, Off Road Vehicle, Watercraft). 3. Click on the unit you are making the change to. 4. Scroll down to the ""Additional Interest"" field. 5. Click ""Change"". 6. Input the Effective date of the change. 7. Make the desired changes [1]."
What are the product Codes for Specialty Dwelling?,381," The product codes for Specialty Dwelling are 381, 001, 002. ",Only asked for product code. Received starting number of policy numbers as well,Fail,Specialty,The product codes for Specialty Dwelling are 3-digit [4].
How do I process MailScan?,"1.	User presses Open and chooses a document from the CONTENT folder.
2.	The document image displays in MailScan.
3.	User selects the Line of Business.
4.	User selects the Transaction Type. Options for the Transaction Type match the Easylink Queues. If the item has already been processed by a representative and only needs to be archived, be sure to click the Storage Only box. Items from the drop-down box to select are:
	21C Correspondence
	21C New Business Fax
	21C PA
	21C Special Services
	21C Underwriting
5.	User enters the policy number and selects Verify Info. The application validates the policy number from POINT. If the Policy number is valid the Insured & Producer Info will populate.
6.	Press the Finalize button to complete the document.
7.	If the policy number is invalid, press Close and email Jim Howell document needs research. Please include the folder where the document is located along with the document name."," To process MailScan, follow these steps:

1. Open the document from the Content folder.
2. Select the Line of Business and Transaction Type.
3. Enter the policy number and select Verify Info.
4. If the policy number is valid, the Insured & Producer Info will populate.
5. Press the Finalize button to complete the document.
6. If the policy number is invalid, press Close and email Jim Howell document needs research. 
7. Include the folder where the document is located along with the document name.",Skipped steps when answering. kaD4T000000H4mpUAC,Fail,Farmers HI,"To process MailScan, the user must first press Open and choose a document from the CONTENT folder [1]. The document image will display in MailScan [1]. The user must then select the Line of Business and Transaction Type [1]. The Transaction Type options match the Easylink Queues [1]."
Can I verbally cancel a Louisiana policy?,Any variations of no for state of Lousiana,Verbal cancellations are no longer accepted in Louisiana. You will need to submit a written request to cancel your policy.,,Pass,Specialty,"Effective January 1st, 2021, insureds in Louisiana will need to submit a request to cancel their policy in writing [1]. You can call your agent to cancel your policy [3]. You can also process the cancellation online through the ForemostSTAR website [4]."
Where are the Verbal cancellation scripts?,"Auto: 

""Please confirm that this recorded call serves as your written request to cancel policy number _____on the Vehicle Year, Make, Model (all vehicles must be stated) with us effective MM/DD/YYYY (date) at 12:01 AM*. By confirming, you are mutually agreeing with us to conduct this particular transaction electronically.  If you agree, please respond yes.""
***A VERBAL ""YES"" MUST BE OBTAINED FROM THE CUSTOMER TO CONTINUE THE CANCELLATION.***
 

Non-Owner:  

""Please confirm that this recorded call serves as your written request to cancel policy number _____ with us effective MM/DD/YYYY (date) at 12:01 AM*.  By confirming, you are mutually agreeing with us to conduct this particular transaction electronically.  If you agree, please respond yes.""
***A VERBAL ""YES"" MUST BE OBTAINED FROM THE CUSTOMER TO CONTINUE THE CANCELLATION.***",The Verbal cancellation scripts can be found in the Bristol West Verbal and Chat Cancellation Scripts article.,Answer is pointing to the article. Expected the script from article,Fail,Bristol West,"Verbal cancellation scripts can be found at [1]. For requests within the first 60 days of a new business policy in Florida, review state specifics [4]. If the requested cancel effective date is in the past, a written request is required along with the appropriate supporting documents [4]."
How would I refer a request to another brand?,"General Instructions:
1.	Does the request also include policies for the brand you process for?
	Yes: Completely process the requests for those policies
	No: Proceed to step 2
2.	Kraft Lake Brokerage and Toggle do not have SRM. Is the request for Kraft Lake or Toggle?
	JC Taylor: Are JC Taylor policies Foremost policies?
	Kraft Lake: Advise the agent to call 800-339-3114, or use the chat feature in Farmers Dashboard
	Toggle: How to redirect documentation meant for Toggle
3.	Did the request come from SRM?
	Yes: See SRM Instructions
	No: See 'Transfer into SRM' Instructions
"," To refer a request to another brand, follow these steps:

1. Enter general comments regarding the request. 

2. Hit the ""Refer"" button at the top of the Service Request.

3. Select the receiving department, inquiry type, transaction type, and create the ""Task"" for the next person to complete.

4.  Enter the reason for referring in the ""Task Subject"" field.

5.  In the ""Task Description"" field, tell the next person exactly what needs to be done on the request.

6.  Hit the ""Save"" button to refer the request.",Article talks about SR referal but not a referal to different brand,Fail,FWS,"To refer a request to another brand, you can use the Work Point Pro system [1]. After creating the SR, you can refer it to the Bristol West queue BW-Endorsement [1]. To exit the SR, click the 'X' on the SR [1]."
What are the state requirements for Hawaii State ID cards,"STATE REQUIREMENTS
Generally, State facilities do not accept electronic ID Cards when requesting proof of insurance. ID Cards must print on state approved fraud resistant paper. Faxed or Emailed ID Cards are not valid proof of insurance.

As a courtesy, the company may fax or mail ID cards per the customer's request. There are specific letters designed to accommodate the State's requirements: 
Refer to: Customer Service Manual Letters
NOTE: PRIOR TO SENDING CUSTOMERS EMAILS CONTAINING CONFIDENTIAL INFORMATION, REVIEW THE EMAIL PROCESS WITHIN ARTICLE: Does an email sent through SRM need to be encrypted?",ID Cards must print on state approved fraud resistant paper. Faxed or Emailed ID Cards are not valid proof of insurance.,,Pass,Farmers HI,"Generally, State facilities do not accept electronic ID Cards when requesting proof of insurance [1, 2]. ID Cards must print on state approved fraud resistant paper [1, 2]. Faxed or Emailed ID Cards are not valid proof of insurance [1, 2]."
Can I offer an extension on an account with a DNOC?,The article doesn't excplicity say it offers extension. Expecting answer not found reply.," Yes, extensions on DNOCs may be available. See Billing: Extensions - What are the Extension Guidelines and Process?",Article does not state this,Fail,Commercial,"Yes, extensions on DNOCs may be available [1]. When considering a request for an extension, you should consider the customer's previous payment history in the last 12 months [1]."
What are the state requirements for HI State Identification Cards?,"STATE REQUIREMENTS
Generally, State facilities do not accept electronic ID Cards when requesting proof of insurance. ID Cards must print on state approved fraud resistant paper. Faxed or Emailed ID Cards are not valid proof of insurance.

As a courtesy, the company may fax or mail ID cards per the customer's request. There are specific letters designed to accommodate the State's requirements: 
Refer to: Customer Service Manual Letters
NOTE: PRIOR TO SENDING CUSTOMERS EMAILS CONTAINING CONFIDENTIAL INFORMATION, REVIEW THE EMAIL PROCESS WITHIN ARTICLE: Does an email sent through SRM need to be encrypted?",ID Cards must print on state approved fraud resistant paper. Faxed or Emailed ID Cards are not valid proof of insurance.,,Pass,Farmers HI,"Generally, State facilities do not accept electronic ID Cards when requesting proof of insurance [1, 2, 3]. ID Cards must print on state approved fraud resistant paper [1, 2, 3]. Faxed or Emailed ID Cards are not valid proof of insurance [1, 2, 3]. As a courtesy, the company may fax or mail ID cards per the customer's request [1, 2, 3]."
Does Texas have loss run request?,Any varation of no or not available for the state of Texas," 
Based on the context provided, Texas is not listed as a state with specific loss run requirements. 
",,Pass,Commercial,"Yes, Texas does have loss run requests [1, 5]. In order to release the loss runs, you would need a signed and dated request on insured letterhead stating you are able to release them to your agency [5]. The insured or the current agent of record may also request the loss runs directly from you [5]."
What is considered as park models?,"Park models are under 400 sq. ft. and are usually built to ANSI code. Park models are primarily designed for long-term or permanent placement at a destination where an RV or mobile home is allowed. When set up, park models are connected to the utilities necessary to operate home style fixtures and appliances."," Park Model Recreational Units (park model trailers) are defined as recreational vehicles that are built on a single chassis and are less than 400 square feet with a maximum width of 14 feet. They are typically used for temporary accommodations for recreation, camping, or seasonal use, but can also be used as a primary residence. Park models must be permanently sited with full utility hook-up and have a gross trailer area not exceeding 400 square feet in the set-up mode.",Combined info from multiple article,Pass,Specialty,Park models are trailers built on a single chassis mounted on wheels that have a gross trailer area not exceeding 400 square feet [2]. They are primarily designed for long-term or permanent placement at a destination where an RV or mobile home is allowed [3].
How far can I backdate a New Business Quote?,Not enough information to answer this question," Once a Mass Auto new business policy has been issued, it may not be
changed for the purposes of establishing a new policy effective date. The same rule also applies to
submitted (pending issue) new business auto policies. A policys effective date will be based upon
either:
The date that the application is entered in ARS, or
A future effective date
Any agent requesting to backdate:
Must be declined, and
The agent must be referred back to the marketing manager or underwriter.",Did not answer the question,Fail,FWS,"You can backdate a New Business Quote up to 30 days without additional approval [3]. Approval past 30 days should go to chat assist [3]. Transactions will only be backdated in the event of company error, not customer or agent error [3]. When the customer requests a backdate transaction that decreases premium and the delay is due to a late request from the customer, and not company error, we will backdate the request 90 days unless proof supporting the earlier date is received [5]."
How do I cancel a Policy?,"1.	Start on the customer's Account File Summary screen in PolicyCenter.
2.	Click the policy term hyperlink corresponding with the desired effective date in the Policy Terms section or change the date on the calendar.
3.	Click the Actions button.
4.	Select Cancel Policy.
5.	Select an option from the Source drop-down menu.
6.	Select an option from the Reason drop-down menu.
7.	Enter the effective date in the Cancellation Effective Date field.
8.	Click Start Cancellation.
9.	Upload documentation on the Documents tab. Retroactive transactions within 60 days of the current date do not require approval.
10.	Click Bind Options and select Cancel Now to complete the cancellation."," To cancel a policy, you can call Farmers Insurance customer service at 1-800-435-7764. You will need to provide your policy number and the reason for cancellation. You can also cancel your policy online by logging into your account and following the instructions. If you cancel your policy within the first 30 days, you will receive a full refund. If you cancel your policy after 30 days, you will receive a prorated refund.
",Genric Info. Ans not found in article,Fail,Farmers,"To cancel a policy, the person verbally requesting or signing a cancellation request must be one of the following: Primary Named Insured, Secondary Named Insured, or Spouse of Named Insured [1]. For a retroactive cancellation more than 60 days prior to date of request, an insured's signed request, along with acceptable supporting documentation, is needed [2]."
How do I stop pay a refund check?,"1.	Review When would a refund check be voided?
2.	Verify that the check has not been cashed.  See How to Check the Status of a Refund Check
	Refund was cashed:  It cannot be voided. 
	Refund was not cashed:  Proceed to step 3
3.	For a reissue:
	Verify that it has been 10 business days since issued and the insured still has not received it.
4.	Advise the caller not to cash the original if received and document the policy
	Document the SR rather than the Void/Stop Form
	Note:  This documentation is required even when the insured states the check is damaged, was not received, or lost.  
5.	Complete BW Void/Stop Payment Request form in SRM.  Note:  If there are multiple checks to be voided, one void/stop form is sufficient.  Document the additional check numbers in the Other Special Instructions section.
	Choose ""Returned Premium- Re-Apply"" to reapply refund to policy
o	If the policy is to be reinstated due to accepting a payment less than what was required, document the request or follow up on the policy to verity it has been reinstated.
	Choose ""Returned Premium-  Re-Issue"" to reissue and enter correct address to send to.
	Issuing to a new address:
o	Add diary comment to AS400 with new address
	Address or Name on check is requested to be updated:
o	Confirm in notes it has not already been edited by finance (address/name edits are not always reflected on the Check Number Assigned Screen; but will be in diary comments.)
o	When the refund is issuing the same and the payment needs to be transferred but ""transfer"" cannot be hit to transfer the funds, submit a Void/Stop form.  In the event the refund check number has not generated yet, submit a Billing Action Needed form and Expedite the request. 
	How to Reapply a Same Day Refund to a Policy
	Add special instructions to include confirmation original has not cleared and the insured will be advised not to cash if received.
6.	Add diary comment to include advising not to cash original, that it has been verified as not having cleared
7.	Refer SR
8.	Process can take 1-2 business days
	How long does it take to void and reissue a refund check?
"," To stop payment on a refund check, you will need to: 

1. Advise the agent or named insured not to attempt to cash the original check. 
2. Process Void Stop pay request via Mellon Bank. 
3. Process void via AS400. 
4. Diary comment policy: ""Processed Void Stop Pay request to ReIssue refund to NI"". 
5. Save Word document screen shots to shared Z drive: Operations/Accounting Services/Accounting Services/Void check_Stop pay/2Void Stop Pays/Year void stop pays/month void stop pays 
",Both expected and referred article has info for the question,Pass,Bristol West,"To process a refund void stop pay request, you can open a Word document and title it with the current date followed by Void Stop and your initials [3]. You can then review the diary comments and void stop pay request [3]. At least one must state the agent or named insured was advised not to attempt to cash the original check [3]. If not noted, the request cannot be processed [3]. You can also process the void via AS400 [4]. Be sure to screen shot and copy to Word document prior to finalizing AS400 void [4]. You can also reapply a same day refund to a policy [4]. The Diary Comment policy should state: Processed Void Stop Pay request to Reapply refund to policy [4]. You can save Word document screen shots to shared Z drive: Operations/Accounting Services/Accounting Services/Void check_Stop pay/2Void Stop Pays/Year Void Stop Pays/Month Void Stops [4]. If one of the individuals on the refund check is now deceased, you can stop payment and reissue a refund check payable to both the living person and â€œThe Estate ofâ€• the deceased person [2]."
Is a vehicle with a class plate eligible based on vehicle use?,No," 
I cannot determine the answer to that due to lack of context.
",Article referes to clssic plate. Question has class plate,Fail,Farmers HI,"Yes, class codes place customers with similar characteristics (such as vehicle use) into categories or ""classes"" [5]."
What is the Replacement Bill Format?,"Replacement Bill Format
1.	The date the replacement bill is produced appears in the upper right corner.
2.	Statement of Account:
a.	The date on which the original bill was produced appears in the ""Statement Of Account As Of XX/XX/XX"" heading.
b.	Current Balance is the only entry appearing in the Statement of Account section of the replacement bill and is the balance as of the date of the last bill.
3.	Schedule of Payments: Only the Due Date and the Amount of the bill being replaced displays in the schedule of payments. A schedule of any remaining installments does not display.
4.	Messages: Other than processing fee and state fees messages, only one message appears on the replacement bill. If the bill is a reproduction of an earned premium bill, the following message displays:  
5.	If the bill is a reproduction of an earned premium bill, the following message displays:
""This is a reproduction of the billing statement issued on XX/XX/XX. The amount due represents the unpaid premium for coverage provided by your recently canceled policy. Please pay this amount immediately. Any remaining balance will be referred to a collection agency. If you have any questions regarding this notice, please call 1-800-422-4272.""
 
In all other cases, the following message appears on the replacement bill:
 
""This is a reproduction of the billing statement issued on XX/XX/XX. This statement does not supersede any cancellation notice issued since that date.""
6.	The Minimum Payment and Payment In Full amounts are the same amounts which appeared on the original bill now being replaced.
 
 
 ",The Replacement Bill format is a Free Form Line.,Incomplete inforamtion,Fail,FWS,A replacement bill can only be requested for a canceled policy if money is still owed and an earned premium bill (655 or 656) has been issued [1].
Does the FWS Retention team support A360?,Any variation of No," No, the FWS Retention team only supports ARS policies at this time. ",,Pass,FWS,"Yes, the FWS Retention team supports A360 [1]."
Will payment return NFS if authorization is revoked?,Yes," Yes, payment will return NSF if authorization is revoked as per the policy ""We will not email out to insured/agent for replacement payments on payments with Hard Return code
reasons.If payments show posted; not charged and no attempt was made to draft in PaymentsHub, PSO
will review previous payments for Hard Return Codes. If found, PSO will terminate EFT and send
payment to be NSFd with no fee if it is aging. (Example: reviewing report on 7/28 and payment was
from 6/28).""",,Pass,Bristol West,"Yes, if a payment returns on the renewal, it can be replaced along with an NSF fee to renew the policy with a lapse within 30 days [4]. The insured will be required to re-enroll with updated account/card information [1]."
Can advoctates combine muliple submission into one for apprval ?,"No, Service Advocates are not able to combine multiple submissions, emailed by the agent for Submit For Approval, into one. It is not possible. In addition, documents sent in for Submit For Approval must be all attached to one email. "," Yes, an advocate can combine multiple submissions into one for approval. 
How to combine multiple submissions: Find alternate policyAsk if we have a signed request to cancel, if
soEndorse the policy that will remain with driver and vehicleSubmit endorsement
Review premium differenceComment as usual
Cancel the other policy
Comment as usual, including the policy number this was transferred to","Artcile picked clearly says ""NO""",Fail,Farmers Specialty Auto,"No, Service Advocates are not able to combine multiple submissions, emailed by the agent for Submit For Approval, into one [1]."
What do I do if the caller only has a claim number?,"If granted access to Guidewire ClaimCenter continue process below, otherwise contact EST Team.

1. Login to Guidewire ClaimCenter via http://claimcenter.farmersinsurance.com/cc/ClaimCenter.do
2. On the right side of the screen under the Claims tab, select ""Simple Search.""
3. Input the provided claim number in the ""Claim #"" Field.
4. Select ""Search."""," If the caller only has a claim number, you can locate the insured information by following these steps:

1. Login to Guidewire ClaimCenter via http://claimcenter.farmersinsurance.com/cc/ClaimCenter.do
2. On the right side of the screen under the Claims tab, select ""Simple Search.""
3. Input the provided claim number in the ""Claim #"" Field.
4. Select ""Search.""",,Pass,Farmers Specialty Auto,"If a caller only has a claim number, you should contact Service Operations for assistance [1]."
What is the Billing Code for a Renewal Policy?,20,023 is the billing code for a renewal policy,023 is for Renewal in New Writing Company. Did not read associated info present in the table,Fail,FWS,The billing code for a renewal policy is 020 [1].
How do I convert a file to PDF?,"1.	Send yourself an email from SRM (we'll use it in step 6)
2.	Click on JPG entry, then click on Print 
3.	Click on :Destination"" and choose  ""Save as PDF"" (this option is located under Print Destination)
4.	Click on Save
5.	Choose where you would like to save the document (desktop, for example)
6.	Attach the PDF to the email you sent yourself
7.	In just moments the attachments/documents will appear (go back to SRM, Details tab, scroll to find)
8.	Complete the document transfer to EDMR 
	How to archive documents to EDMR
"," To convert a file to PDF, follow these steps:

1. Open the file you want to convert.
2. Click on the ""File"" menu and select ""Print"".
3. In the ""Print"" dialog box, select ""Adobe PDF"" as the printer.
4. Click on the ""Print"" button.
5. In the ""Save As"" dialog box, select a location to save the PDF file and click on the ""Save"" button.",Generic Information,Fail,Farmers Specialty Auto,"To convert a file to PDF, you can right click anywhere on the page of the opened BNB and select Print [2]. Make sure the Destination is Save as PDF and click Save [2]. Choose where you want to save the PDF file on your computer and click Save to complete [2]. You can also use Adobe to merge 2 PDFs into 1 [4]. There are two methods: 1. Open Adobe, navigate to Tools under the menu bar, click Combine Files, drag and drop the PDFs to be merged into the Combine Files Pop Up [4]. 2. Open first document to be combined, navigate to Tools under the menu bar, click Organize Pages, click Insert, click From File, use the browser to find the document to be combined, click Open, use the Insert Pages pop up to select where the PDF will be added into the original document, click OK, save the document [4]."
Can I contact customer without PEWC during renewal?,"Prior Express Written Consent (PEWC) will allow us to contact customers during the renewal window.

If a customer has not already provided Prior Express Written Consent (PEWC), we will send an email every year asking for policyholders to sign the PEWC form.  The policy will include a comment for this (automated comment will be different when this process is finalized)."," Yes, you can contact the customer without PEWC during renewal. 
According to the context, ""Updating The Renewal"",  ""When clicking Save Preference on the Policy Preference screen, if a renewal exists, the user will receive
the following pop up asking if they would like to update the renewal policy.
Click OK to update the renewal.Click CANCEL to change only the current term."" 
This means that the customer can be contacted during renewal if they have opted to update the renewal policy. ",Information is from different section which is not related to the question,Fail,Farmers HI,"Yes, you can contact customers without PEWC during renewal [2]."
How to access flood information from ADE ?,"At the top of the Farmers Dashboard, click the Personal tab
Note: Another window will open. You will need to click the X on the Critical Notifications window.
Click the Flood tab on the lower section of the screen
Choose from the links provided to obtain the needed information
"," To access flood information from ADE, you can use the following steps:

1. Go to the ADE website.
2. Click on the ""Flood"" tab.
3. Select the type of flood information you are looking for.
4. Enter the required information.
5. Click on the ""Search"" button.
6. The results will be displayed on the screen.",Steps are in table. Few points listed in the summarization looks made up,Fail,Specialty,"To access flood information from ADE, you can click the Flood tab on the lower section of the screen [1]. You can choose from the links provided to obtain the needed information [1]."
What do I refresh pivot table?,Generic Terms that are not specific to Insurance," To refresh a pivot table, you can follow these steps: 
1. Select the pivot table you want to refresh. 
2. On the ribbon, click the ""Refresh"" button in the ""Data"" tab. 
3. Alternatively, you can right-click on the pivot table and select ""Refresh"" from the context menu. 
4. The pivot table will be refreshed with the latest data.",Generic info. Selected articles does not have this info.,Fail,not available,"To refresh a pivot table, go to the Status tab, click within the pivot table, go to Analyze, select Change Data Source, highlight starting in A1 Column U, and down to the last row with data, hit Refresh [1]."
What is the ARS Retention Transfer Process?| How do I transfer a customer to the retention team?,"Vendor:
Use the Retention transfer number provided. 
GPC 017/Mercer
Send calls to Mercer at 800-999-6642. The Retention Team is not authorized to service Mercer policies.
Internal:
Use the internal phone directory via SRM. All calls to this team should be a warm transfer to help maximize the customer experience."," The ARS Retention Transfer Process is a process for transferring customers to the retention team. To transfer a customer to the retention team, you can use the Retention transfer number provided. GPC 017/Mercer
Send calls to Mercer at 800-999-6642. The Retention Team is not authorized to service Mercer policies.
You can also use the internal phone directory via SRM. All calls to this team should be a warm transfer to help maximize the customer experience.",,Pass,FWS,"The Retention ARS Transfer Process is as follows: Use the Retention transfer number provided [1]. For GPC 017/Mercer, send calls to Mercer at 800-999-6642 [1]. For internal calls, use the internal phone directory via SRM [1]. All calls to this team should be a warm transfer to help maximize the customer experience [1]. If the customer declines the transfer, process the customer's cancellation request [1]. If the policy is not eligible for Retention Team support, assist the customer with their request or refer them back to their agent for assistance [1]. Sales Consultants may state DOB and zip code without asking the customer to reconfirm it [3]. If the customer is warm transferred to Retention by Customer Service team, the Retention Agent does not need to verify or pass security for the customer [3]."
Is there an Issue with Hawaii Renewal Premiums?,"An issue was identified for the HI PSP to PSP renewals. 

An incorrect premium has been reflected in previous policy documents due to an incorrect tier that has been assigned to the renewal.  

The company has identified approximately 400 active policies and 65 cancelled policies that were impacted. Emails are being sent letting insureds know the wrong information was received. wrong information. 
 
	Example email:
 
The company is working to correct the error (mid-term) and apply the premium credit/refund. Revised policy documents will be sent shortly showing the correct premium. 

Policies will be updated with an automated comment:  HI Premium Renewal Issue. See Broadcast #HI-56.
 
Note: Active policies are being corrected first, then cancelled policies will be addressed.
 
Suggested Scripting:
 A review of your policy resulted in an adjustment to correct your policy premium. We apologize for any inconvenience this may have caused."," Yes, there is an issue with Hawaii renewal premiums. An incorrect premium was reflected in the Renewal Packet and a hold has been placed on future renewals. The company is identifying the impacted policies and sending an email letting insureds know the wrong information was sent. The company is working to correct the error and expect the premium could decrease and will send revised policy documents shortly showing the correct premium. Policies will be updated with an automated comment: HI Premium Renewal Issue. See Broadcast #HI-56",,Pass,Farmers HI,"Yes, there is an issue with Hawaii renewal premiums [1]. The company is working to correct the error and expect the premium could decrease [1]. Revised policy documents will be sent showing the correct premium [1]."
What are the required documents for CA Mileage to adjust Rate ?,"The following documents will be required for CA Mileage after renewal and are to be sent in by Agent/Broker in order to adjust Mileage/Rate for every vehicle included on the policy**
Request must be in writing
Must include completed Annual Mileage Survey document
Must include 2 service documents from 3rd party Service Center that timestamp the mileage difference from the prior term to the renewal
E.g., Oil change receipts, tire rotation services or any car repair document that captures mileage on the vehicle."," The following documents will be required for CA Mileage after renewal and are to be sent in by Agent/Broker in order to adjust Mileage/Rate for every vehicle included on the policy
* Request must be in writing
* Must include completed Annual Mileage Survey document
* Must include 2 service documents from 3rd party Service Center that timestamp the mileage difference from the prior
term to the renewal

E.g., Oil change receipts, tire rotation services or any car repair document that captures mileage on the
vehicle.
",,Pass,Bristol West,"The following documents are required for CA Mileage after renewal and are to be sent in by Agent/Broker in order to adjust Mileage/Rate for every vehicle included on the policy: Request must be in writing [1, 4]. Must include completed Annual Mileage Survey document [1, 4]. Must include 2 service documents from 3rd party Service Center that timestamp the mileage difference from the prior term to the renewal [1, 4]. Eg, Oil change receipts, tire rotation services or any car repair document that captures mileage on the vehicle [1, 4]."
What Folders need to be worked as part of the MailScan?,"Folders in the Content folder that need to be worked are as follows:
2018   contains Backend documents
Backend Mail  contains Backend Documents
HI_1stop_Mailscan_doc  Backend work. Only the items in the dated folders need to be processed.
Odometer Letter Imaged_CA_Point Policy  Backend work
Opex Scanned Documents  Back work. Only the items in the Backend folder need to be processed"," 2018   contains Backend documentsBackend Mail  contains Backend
DocumentsHI_1stop_Mailscan_doc  Backend work. Only the items in the dated folders need to be
processed.Odometer Letter Imaged_CA_Point Policy  Backend workOpex Scanned Documents 
Back work. Only the items in the Backend folder need to be processed.
",,Pass,Farmers HI,"The following folders in the Content folder need to be worked as part of the MailScan: 2018, Backend Mail, and HI_1stop_Mailscan_doc [1]."
What are the procedures for graduated licensing?,"If the insured states that their child has a permit only, the type of license should be verified
If the driver has a Permit type license:
Add as Non Driver to the Endorse > Driver Screen
Document in comments
If the Driver has a license
 Add the driver to the policy"," The procedures for graduated licensing are as follows:
1. Review and obtain the expected date when the driver will be licensed.
2. Add the Permit Operator as a Non-Driver.
3. Enter the Permit Number as the Driver's License Number.
4. Create a Suspense Comment for six months or expected licensing date (if less than six months) to follow up to verify if the operator has obtained a license.",kaD4T000000H6SWUA0  has  accurate infroamtion,Fail,Farmers HI,"For graduated licensing, a licensed parent, legal guardian, or licensed driver over age 21 must accompany the youthful driver at all times [1]. A provisional license driver may not operate a motor vehicle between 11pm and 5am unless accompanied by either a parent or guardian that is licensed to drive the same type of motor vehicle and is seated in the passenger seat beside the driver [1]."
When would I recycle a diary comment in PSP?,," When you want to reuse a diary comment in PSP, you can recycle it. 
To recycle a diary comment, follow these steps: 
1. Scroll over ""Policy"" and click on ""Diary Comments"" 
2. Scroll over ""Options"" to the left of the diary comment and select ""Edit"" 
3. In Destination replace the text with ""RECYCLE"" 
4. Click Save",,Pass,Farmers Specialty Auto,"If underwriting sent a notice to the insured but hasn't issued a non-renewal yet, and that notice has been satisfied, you would recycle the follow up comment(s) from Underwriting [3]."
Can service advoctates combine muliple submission into one for approval ?,"No, Service Advocates are not able to combine multiple submissions, emailed by the agent for Submit For Approval, into one. It is not possible. In addition, documents sent in for Submit For Approval must be all attached to one email. "," Yes, service advocates can combine multiple submissions into one for approval. 
To do this, the service advocate should: 

1.	Make sure that all of the submissions are for the same policy.
2.	Combine the submissions into a single PDF file.
3.	Attach the PDF file to an email and send it to the underwriter.
4.	Include a note in the email explaining that the submissions are being combined for approval.","Generic Info. Artcile picked clearly says ""NO""",Fail,Farmers Specialty Auto,"No, Service Advocates are not able to combine multiple submissions, emailed by the agent for Submit For Approval, into one [1]."
What do I do when the caller hands the phone to somone else?,"If the already verified named insured caller passes the phone to a third party, you need to obtain the named insureds permission to speak to the third party.  Only the named insured can provide authorization to release NPPI to another person.  Note: The authorization is only good for that one call. 
If the third party that the caller passes the phone to is another caller type listed above, you can follow that verification process in lieu of obtaining the named insureds permission. 
The third party who has been handed the phone needs to provide the identifying details being verified directly to the Service Operations advocate."," When the caller hands the phone to someone else, you should verify the identity of the new person. 
This is to ensure that you are speaking to the right person and that the person you are speaking to is authorized to discuss the account. 
You should also obtain the new person's contact information in case you need to reach them again.",Information not found in article,Fail,Commercial,"If the caller hands the phone to someone else in the agent's office, the new party must be advised that the call is being recorded [3, 5]. You can continue the call as long as the caller completes the caller verification process [1]."
