question,expected_ans,predicted_ans,article_id,matched_articles,pass_fail,reason,brand,ans_exp_5,cited_new,matched_article_new
How can an insured Dispute a loss prior to Farmers Hawaii?,"On every new business policy, we obtain a CLUE report from Lexis Nexis. If the insured disagrees with what is being reported by Lexis Nexis, they have two options.
	Contact the insurance carrier that is reporting the activity and obtain a letter on insurance company letterhead (not agency letterhead) that includes:
o	Date of loss
o	Driver involved
o	What coverage paid and how much
o	Description of loss
o	Subrogation, if any
o	Liability decision
	Contact Lexis Nexis to obtain a copy of the CLUE report (800-456-6004). Once received, they can file a dispute with Lexis Nexis (888-497-0011)
o	If they file a dispute with Lexis Nexis, a CLUE dispute form from Lexis Nexis will be sent to the reporting insurance carrier who will be responsible for investigating the claim to determine if the dispute being presented by the Insured is correct or not. They will then respond to Lexis Nexis to let them know if the dispute is valid or not. If the dispute is found to be valid, a revised CLUE report will be sent to update the policy.
"," The insured can contact the insurance carrier that is reporting the activity and obtain a letter on insurance company letterhead (not agency letterhead) that includes:
Date of loss
Driver involved
What coverage paid and how much
Description of loss
Subrogation, if any
Liability decision 

OR

Contact Lexis Nexis to obtain a copy of the CLUE report (800-456-6004). 
Once received, they can file a dispute with Lexis Nexis (888-497-0011)",kaD4T000000PGFqUAO,"kaD4T000000PGFqUAO
kaD4T000000PKVnUAO",Partial Pass,Incomplete Answer; Trimmed few sentances,Farmers HI,foobar,"[('kaD4T000000PGFqUAO', 2.0), ('kaD4T000000PKVnUAO', 0.5)]","[('kaD4T000000PGFqUAO', 2.0), ('kaD4T000000PKVnUAO', 1.0), ('kaD4T000000blzZUAQ', 0.5833333333333333), ('kaD4T000000PKozUAG', 0.5833333333333333), ('kaD4T000000H6neUAC', 0.2)]"
What do I do if Returned mail doesn't contain a policy or account number?,"Search the returned document for any insured information, such as a valid policy, account number, or address.
Use Agency Dashboard to research for policy info.  Direct Bill Inquiry can also be used to look up account numbers (F numbers).
If you cannot find either number, make comments in the SR and then close with this comment: 
RECEIVED RETURNED MAIL. CANNOT LOCATE POLICY OR ACCOUNT NUMBER. CLOSING SR."," Make comments in the SR and then close SR.
SR Comment: RECEIVED SR CONTAINING NON-ACTION ITEM OR BLANK REQUEST. CLOSING SR.",kaD4T000000Xh5zUAC,kaD4T000000Xh5zUAC,Partial Pass,"Incomplete Answer; Skipped 3rd point, and half info from 2nd point. #rd point in the answer looks made up or coming from different section.",Commercial,foobar,"[('kaD4T000000Xh5zUAC', 2.0), ('kaD4T000000GyhsUAC', 0.2)]","[('kaD4T000000Xh5zUAC', 2.0), ('kaD4T000000HDDrUAO', 0.75), ('kaD4T000000bpjwUAA', 0.6666666666666666), ('kaD4T000000GqyfUAC', 0.5), ('kaD4T000000Xd3ZUAS', 0.45)]"
Can Surviving Spouse request policy cancellation?,"Yes, Cancel processes allowed: Mail, Email or Fax "," Yes, surviving spouse can request policy cancellation. They can do so by providing a copy of the title or trust showing no other interest must be included with the request.
",kaD4T000000blyvUAA,kaD4T000000HJ4IUAW,Pass,nan; nan,Specialty,foobar,"[('kaD4T000000HJ4IUAW', 0.75)]","[('kaD4T000000Xd1pUAC', 1.5), ('kaD4T0000009DENUA2', 1.3333333333333333), ('kaD4T000000HJ4IUAW', 0.75), ('kaD4T000000blyvUAA', 0.5333333333333333), ('kaD4T000000XmdFUAS', 0.45)]"
How do I get a copy of the EFT authorazation form after it is set up?,"If the agent has set up autopay and needs to obtain a copy of the authorization form, it can be located under the billing documents tab in Direct bill when there is a pending authorization for a paper EFT authorization form
Once the trigger to receive the form is available this document will no longer be available"," Once the EFT authorization form is set up, you can obtain a copy of the form by going to the Direct Bill tab in PaymentsHub. 
The EFT authorization form will be available there as long as there is a pending trigger to receive a paper copy of the form. 
If the autopay plan was originally set up with the DocuSign process as the EFT form option or after a completed, approved form is received, the pre-filled form in Direct Bill will no longer be an option. ",kaD4T000000XnteUAC,kaD4T000000XnteUAC,Partial Pass,"Duplicate  Information; Same info twice. Also switched the words, it is not Direct Bill Tab, it is under billing documents tab.",Commercial,foobar,"[('kaD4T000000XnteUAC', 3.333333333333333), ('kaD4T000000XhWaUAK', 1.0)]","[('kaD4T000000XnteUAC', 3.333333333333333), ('kaD4T000000XhWaUAK', 2.333333333333333), ('kaD4T000000XnH2UAK', 1.2833333333333332), ('kaD4T000000XhWbUAK', 0.8333333333333333), ('kaD4T000000XhWeUAK', 0.75)]"
What are the steps to cancel policy in property to NextSTAR,"On the ForemostSTAR home page, type the 10 digit policy number into the Search/Change Quote or Policy tab. Click Search.
If cancelling back multiple terms, click on the Policy Terms and Pending Transactions button on the left side and select the newest term 
On the Policy Summary tab click Manage/Change Policy.
Pick Cancel Policy in the drop-down and click Go.
Put in the effective date of the change, who is cancelling, the reason for cancelling, and click Continue.
Verify the mailing address on the Issue Cancellation tab.
Confirm the insureds / payees names should there be a refund. 
What are the guidelines when adding, changing, or removing a named insured?
The Estimated Disbursement or Amount Due will be listed.
Complete the cancellation by clicking the Issue Cancellation button. "," To cancel a policy in property to NextSTAR, follow these steps:

1. On the homepage of ForemostSTAR, enter the 10 digit policy number in the Retrieve Quote/Policy tab.
2. Click Search.
3. Select View Policy and click Go.
4. Click on the Billing link on the bottom of the page.
5. Click on the View Payment/Billing History link.
6. Look for Cancelled Effective under Notice Type. The date the policy cancelled will be listed under Cancelled Effective.
7. If you are unable to cancel the policy online, contact Service Operations for assistance.",kaD4T000000CnwEUAS,kaD4T000000XlbpUAC,Partial Pass,"Incomplete Answer; Skipped 1, 5, 6, 7, 8 points",Specialty,foobar,"[('kaD4T000000XlbpUAC', 4.0)]","[('kaD4T000000XlbpUAC', 4.0), ('kaD4T0000000D7pUAE', 1.45), ('kaD4T000000XiAnUAK', 1.2), ('kaD4T000000TNL1UAO', 0.75), ('kaD4T000000bmOKUAY', 0.5333333333333333)]"
What do I do if the caller accidentally disconnects the call?,All information received to process change(s).," If the caller accidentally disconnects the call, document the call dropped in the SR as a customer disconnect. 
You are not required to call them back unless they were upset and purposefully disconnected the call or if the request was not completed/answered.  If there is a queue, immediately request the Supervisor/Team Lead to make the return call.  If you are unable to reach the caller, leave a voicemail including the SR number to reference so the caller has the opportunity to return the call.",kaD4T000000Xn5AUAS,kaD4T000000XdRTUA0,Pass,nan; nan,FWS,foobar,"[('kaD4T000000XdRTUA0', 0.8333333333333333), ('kaD4T000000bnsBUAQ', 0.45), ('kaD4T000000XmesUAC', 0.25)]","[('kaD4T000000Xo3QUAS', 3.0), ('kaD4T000000bnsBUAQ', 1.6166666666666665), ('kaD4T000000POKgUAO', 1.5), ('kaD4T0000004dJqUAI', 1.3333333333333333), ('kaD4T000000XnCfUAK', 1.25)]"
How do I update a driver's years of experience?,"PSP 
Under Endorse Policy select Driver(s)
Enter Effective date of Change and Click Ok
Review Years and Months Experienced with insured or agent
If request was sent into us to process calculate amount of months and years of US verified experience, and any IT verifiable experience if applicable based on license date.
Input new numbers into the boxes for each sections
Input License date
Click Rate/Submit
Input Additional Notes
Submit Endorsement"," To update a driver's years of experience, follow these steps: 

1. Login to bwproducers.com or iaproducers.com
2. Hover over ""Manage My Customers""
3. Select by policy number or name
4. Insert either name or policy number click enter
5. Select correct policy term by using the drop down and choosing endorse policy
6. Choose Effective date of change
7. Go to the driver tab
8. Update the License Date
9. Click Rate and submit
10. Continue endorsement
11. Click Submit Endorsement",kaD4T000000Xo0HUAS,kaD4T000000Xo0HUAS,Partial Pass,Creative Answer; All the points are correct. Where is the Note coming from ??,Bristol West,foobar,"[('kaD4T000000Xo0HUAS', 5.0)]","[('kaD4T000000Xo0HUAS', 5.0), ('kaD4T000000Co8bUAC', 2.5), ('kaD4T000000Co4IUAS', 1.2833333333333332), ('kaD4T000000Co0eUAC', 1.2499999999999998), ('kaD4T000000Xm67UAC', 0.8500000000000001)]"
Who do I contact for Uber Claims?,Please transfer the Uber driver to the TNC Claims Department: 877-327-6649. This number should get them directly to our TNC/Uber team in Phoenix who be able to address any questions related to Uber.,The Uber claims department can be reached at 877-327-6649.,kaD4T0000008Y2uUAE,kaD4T0000008Y2uUAE,Pass,nan; nan,Commercial,foobar,"[('kaD4T0000008Y2uUAE', 5.0), ('kaD4T0000008YvbUAE', 1.0), ('kaD4T000000XibqUAC', 0.5), ('kaD1L000000Ci28UAC', 0.5), ('kaD4T0000008cYWUAY', 0.25)]","[('kaD4T0000008Y2uUAE', 5.0), ('kaD4T0000008YvbUAE', 1.3333333333333333), ('kaD4T000000bm8bUAA', 1.1166666666666665), ('kaD4T0000008cYWUAY', 0.75), ('kaD1L000000Ci28UAC', 0.7)]"
What is the return mail process?,"From Policy in PSP:
1. Update address flag if address will not be updated
	If policy is final canceled, add return mail flag to the most recent policy term.
	How to add address flag
	If the address has been confirmed/updated remove address flag 
o	How to remove address flag
2. If envelope has a forwarding address, update mailing address only
	How to update the address
	If Returned Refund Check with forwarding address or reason for return check is caused by the insured being temporarily away, Submit a Void/Reissue request to the new address. If the return reason is mail is refused, notate and close the SR, no action is needed. 
	How to submit Void Stops
o	Click forms fly out on 360 view
o	Select form FSA Void/Stop Payment Request
o	Type of Check drop down select Return Premium
o	Return Premium Options drop down select Re-Issue
o	Enter Check #, Check Amount, Check Issue Date, Address To Mail Check To
o	Submit
	If no forwarding address, continue to Step 3
3. Document Policy in SRM with applicable comment 
	***RTN MAIL*** Recv'd XX/XX/XX document type, sent XX/XX/XX reason for return (if provided), no Forwarding Address (if applicable) and action taken. 
	For Returned Refund check: ***RTN MAIL*** Refund Check # (enter check number) for $ ( enter amount of check, sent on (document date), returned on (date received back), reason for return (if provided), Action taken. 
4. Send an AUT, unless:
	This is the first piece of returned mail within 12 months. 
o	If first piece, notate policy ***RTN MAIL*** RCVD RETURNED MAIL ( DOCUMENT TYPE & REASON FOR RETURN)  SENT XX/XX/XXX RETURNED ON XX/XX/XXXX. FIRST PIECE OF RETURNED MAIL WITHIN 12 MONTHS. NO ACTION TAKEN, SENT TO EDMR CLOSED.
o	If second or more piece of returned mail, notate policy and send AUT. ***RTN MAIL*** RCVD RETURNED MAIL (DOCUMENT TYPE & REASON FOR RETURN) SENT XX/XX/XXX RETURNED ON XX/XX/XXXX. AUT SENT, MULTIPLE PIECES OF RETURNED MAIL RECEIVED. SENT TO EDMR.
	Policy is cancelled and no longer able to be renewed/reinstated
	Return reason is ""no mail receptacle""  
	There has already been an AUT sent within 12 months. 
o	If an AUT has been sent in the last 12 months, notate and close the SR ***RTN MAIL*** RCVD RETURNED MAIL (DOCUMENT TYPE & REASON FOR RETURN) SENT XX/XX/XXX RETURNED ON XX/XX/XXXX. MULTIPLE RETURNED MAIL RECEIVED HOWEVER AUT ALREADY SUBMITTED, SENT TO EDMR. CLOSED. 
o	If there was already an AUT submitted within the previous 12 months but the address has been changed and we are now receiving 2+ pieces of return mail for the new address, send a new AUT. 
	Underwriting has already taken action or received POR within the last  12 months 
o	Review ***UWSG*** comments on the policy and take note of any action already taken. 
Should I send an AUT for returned mail?

5.  Select form FSA AUT Request
	Click forms fly out on 360 view
	Caller Type drop down select Other
	Please Describe Other Field enter Returned Mail
	Request Type drop down select Garaging Address vs mailing address
	Is there a claim present select No
	What is the Issue? enter Returned Mail
	Submit
6. Refer SR  

Note: If out of scope for vendor, edit SR Inquiry Type to Advanced Policy Request and Save.
"," If an AUT has been sent in the last 12 months, notate and close the SR ***RTN MAIL*** RCVD
RETURNED MAIL (DOCUMENT TYPE & REASON FOR RETURN) SENT XX/XX/XXX RETURNED
ON XX/XX/XXXX. MULTIPLE RETURNED MAIL RECEIVED HOWEVER AUT ALREADY SUBMITTED,
SENT TO EDMR. CLOSED. If there was already an AUT submitted within the previous 12 months
but the address has been changed and we are now receiving 2+ pieces of return mail for the new
address, send a new AUT.",kaD4T0000009RMqUAM,kaD4T0000009RMqUAM,Pass,nan; nan,Farmers Specialty Auto,foobar,"[('kaD4T0000009RMqUAM', 1.0), ('kaD4T0000008W8lUAE', 0.5), ('kaD4T0000008VKvUAM', 0.25), ('kaD4T0000008VdBUAU', 0.25)]","[('kaD4T0000009RMqUAM', 4.0), ('kaD4T0000008V1PUAU', 1.7), ('kaD4T0000004EKyUAM', 1.0), ('kaD4T0000008UcZUAU', 0.9166666666666666), ('kaD4T0000008W7YUAU', 0.5333333333333333)]"
Documentation to process a backdated property cancellation?,"Property -
Seller's Statement or Closing Disclosure including:
The Named Insured as the seller
Sale date
Location address or property description matching the location address or unit on the Foremost policy
Buyer's name
Note: Word documents and estimated settlement or closing statements are not acceptable.
Note: If the policy is being cancelled due to sale by an Executor of Estate or Trustee; the date to use is the date the property was actually sold to a third party, not the date the property transferred into the Estate or Trust.
Quitclaim, contract for deed, or Warranty deed
Insured's Lease Expired document or Notice to Vacate:
Documentation such as correspondence from the landlord or management company confirming a termination of contract.
Home settlement statement
Note: Estimated settlement statements or closing statements are not acceptable.
County website proof from netronline
Foreclosure documentation showing the date the lender took ownership of the property."," A valid cancellation request including:

The insured's name
The policy number(s) to be cancelled
The requested effective date of cancellation
The signature of either the Primary Named Insured (PNI) or theSecondary Named Insured (SNI)
Note: Signatures from out of household or excluded customersare not acceptable, even if they are
listed as a named insured ora spouse.
Note: Typed names are acceptable on an email request for
",kaD4T000000XnffUAC,"kaD4T000000POsSUAW
kaD4T000000XnffUAC
kaD4T0000004b23UAA",Partial Pass,"Wrong Summarization within Article; Did not pick the ""Property"" section to answer",Specialty,foobar,"[('kaD4T000000XnffUAC', 2.083333333333333), ('kaD4T0000004b23UAA', 0.5333333333333333), ('kaD4T000000PJXEUA4', 0.25)]","[('kaD4T000000POsSUAW', 3.6666666666666665), ('kaD4T000000XnffUAC', 3.083333333333333), ('kaD4T000000TR7qUAG', 1.5), ('kaD4T000000PJXEUA4', 1.2833333333333332), ('kaD4T0000004b23UAA', 1.1333333333333333)]"
How to add Loss Payee onto Recreational policy?,"From the main page of ForemostSTAR, click on the 'Search/Change Quote or Policy' tab.
Enter the 10-digit policy number in the 'Quote/Policy Number' field. Click ""Search"".
Click the 'Unit' tab (Example: Motorcycle, Off Road Vehicle, Watercraft).
Click on the unit you are making the change to.
Scroll down to the 'Additional Interest' field. Click 'Change'.
Input the Effective date of the change.
Make the desired changes. Click 'Continue'.
Click 'Issue Changes'."," From the main page of ForemostSTAR, click on the 'Search/Change Quote or Policy' tab.Enter the 10-digit policy number in the 'Quote/Policy Number' field. Click ""Search"".Click the 'Unit' tab (Example: Motorcycle, Off Road Vehicle, Watercraft).Click on the unit you are making the change to.Scroll down to the 'Additional Interest' field. Click 'Change'.Input the Effective date of the change.Make the desired changes. Click 'Continue'.Click 'Issue Changes'.
Note: Watercraft: How to add a loss payee to an engine?",kaD4T000000XfX0UAK,kaD4T000000XfX0UAK,Pass,nan; nan,Specialty,foobar,"[('kaD4T000000XfX0UAK', 3.0), ('kaD4T0000004DF2UAM', 0.5), ('kaD1L000000H2LhUAK', 0.5), ('kaD1L000000GyO0UAK', 0.4), ('kaD4T0000009A89UAE', 0.25)]","[('kaD4T000000XfX0UAK', 3.0), ('kaD1L000000H2LhUAK', 1.3333333333333333), ('kaD4T0000004DF2UAM', 1.1666666666666665), ('kaD4T0000009A89UAE', 0.75), ('kaD1L000000GyO0UAK', 0.4)]"
What are the product Codes for Specialty Dwelling?,381," The product codes for Specialty Dwelling are 381, 001, 002. ",kaD4T000000TTE1UAO,kaD4T0000004b1PUAQ,Fail,Unable to find Target Article; nan,Specialty,foobar,"[('kaD4T0000004b1PUAQ', 0.25)]","[('kaD4T000000XlhbUAC', 2.7), ('kaD4T000000Xk2HUAS', 2.5), ('kaD4T000000Xk0qUAC', 1.5833333333333333), ('kaD4T0000004TW4UAM', 1.3333333333333333), ('kaD4T000000XfhxUAC', 1.2)]"
How do I process MailScan?,"1.	User presses Open and chooses a document from the CONTENT folder.
2.	The document image displays in MailScan.
3.	User selects the Line of Business.
4.	User selects the Transaction Type. Options for the Transaction Type match the Easylink Queues. If the item has already been processed by a representative and only needs to be archived, be sure to click the Storage Only box. Items from the drop-down box to select are:
	21C Correspondence
	21C New Business Fax
	21C PA
	21C Special Services
	21C Underwriting
5.	User enters the policy number and selects Verify Info. The application validates the policy number from POINT. If the Policy number is valid the Insured & Producer Info will populate.
6.	Press the Finalize button to complete the document.
7.	If the policy number is invalid, press Close and email Jim Howell document needs research. Please include the folder where the document is located along with the document name."," To process MailScan, follow these steps:

1. Open the document from the Content folder.
2. Select the Line of Business and Transaction Type.
3. Enter the policy number and select Verify Info.
4. If the policy number is valid, the Insured & Producer Info will populate.
5. Press the Finalize button to complete the document.
6. If the policy number is invalid, press Close and email Jim Howell document needs research. 
7. Include the folder where the document is located along with the document name.",kaD4T000000H4mpUAC,kaD4T000000H4mpUAC,Partial Pass,"Incomplete Answer; Trimmed 4th point, its skipped sub bullet points. Skipped 7 th point",Farmers HI,foobar,"[('kaD4T000000H4mpUAC', 1.0), ('kaD4T000000bp1vUAA', 0.2)]","[('kaD4T000000H4mpUAC', 5.0), ('kaD4T000000HDOzUAO', 1.25), ('kaD4T000000PLIfUAO', 1.0333333333333332), ('kaD4T000000H3aqUAC', 0.7833333333333333), ('kaD4T000000bly2UAA', 0.7)]"
Can I verbally cancel a Louisiana policy?,Any variations of no for state of Lousiana,Verbal cancellations are no longer accepted in Louisiana. You will need to submit a written request to cancel your policy.,kaD4T000000XmLCUA0,"kaD4T000000TRkaUAG
kaD4T000000XmhlUAC
kaD4T000000XhnHUAS",Pass,nan; nan,Specialty,foobar,"[('kaD4T000000TRkaUAG', 4.0), ('kaD4T000000XmhlUAC', 1.1666666666666665), ('kaD4T000000XbiGUAS', 0.8333333333333333), ('kaD4T000000XhnHUAS', 0.5), ('kaD4T000000TRkRUAW', 0.2)]","[('kaD4T000000TRkaUAG', 5.0), ('kaD4T000000XbiGUAS', 1.9999999999999998), ('kaD4T000000XmhlUAC', 1.8666666666666665), ('kaD4T000000XbrhUAC', 1.0), ('kaD4T000000TRkRUAW', 0.6000000000000001)]"
Where are the Verbal cancellation scripts?,"Auto: 

""Please confirm that this recorded call serves as your written request to cancel policy number _____on the Vehicle Year, Make, Model (all vehicles must be stated) with us effective MM/DD/YYYY (date) at 12:01 AM*. By confirming, you are mutually agreeing with us to conduct this particular transaction electronically.  If you agree, please respond yes.""
***A VERBAL ""YES"" MUST BE OBTAINED FROM THE CUSTOMER TO CONTINUE THE CANCELLATION.***
 

Non-Owner:  

""Please confirm that this recorded call serves as your written request to cancel policy number _____ with us effective MM/DD/YYYY (date) at 12:01 AM*.  By confirming, you are mutually agreeing with us to conduct this particular transaction electronically.  If you agree, please respond yes.""
***A VERBAL ""YES"" MUST BE OBTAINED FROM THE CUSTOMER TO CONTINUE THE CANCELLATION.***",The Verbal cancellation scripts can be found in the Bristol West Verbal and Chat Cancellation Scripts article.,kaD4T000000TOREUA4,"kaD4T000000TOREUA4
kaD4T000000XmKvUAK",Fail,Wrong Article for Summarization; Found right article in the search result but used wrong article to summarize. Article does not have any scripts,Bristol West,foobar,"[('kaD4T000000TOREUA4', 1.5), ('kaD4T000000XmKvUAK', 0.25), ('kaD4T0000004eVTUAY', 0.25)]","[('kaD4T0000004eVdUAI', 3.833333333333333), ('kaD4T000000XmKvUAK', 2.75), ('kaD4T000000TOREUA4', 2.2333333333333334), ('kaD4T0000004eVTUAY', 1.3333333333333333), ('kaD4T00000008VJUAY', 0.6666666666666666)]"
How would I refer a request to another brand?,"General Instructions:
1.	Does the request also include policies for the brand you process for?
	Yes: Completely process the requests for those policies
	No: Proceed to step 2
2.	Kraft Lake Brokerage and Toggle do not have SRM. Is the request for Kraft Lake or Toggle?
	JC Taylor: Are JC Taylor policies Foremost policies?
	Kraft Lake: Advise the agent to call 800-339-3114, or use the chat feature in Farmers Dashboard
	Toggle: How to redirect documentation meant for Toggle
3.	Did the request come from SRM?
	Yes: See SRM Instructions
	No: See 'Transfer into SRM' Instructions
"," To refer a request to another brand, follow these steps:

1. Enter general comments regarding the request. 

2. Hit the ""Refer"" button at the top of the Service Request.

3. Select the receiving department, inquiry type, transaction type, and create the ""Task"" for the next person to complete.

4.  Enter the reason for referring in the ""Task Subject"" field.

5.  In the ""Task Description"" field, tell the next person exactly what needs to be done on the request.

6.  Hit the ""Save"" button to refer the request.",kaD4T0000004dFuUAI,kaD4T0000004dFuUAI,Fail,"Wrong Summarization within Article; Steps are coming from different places, could not locate most of them in the article",FWS,foobar,"[('kaD4T0000004dFuUAI', 4.0), ('kaD4T000000PMkHUAW', 0.5), ('kaD4T000000Gs1AUAS', 0.3333333333333333), ('kaD4T000000Xme7UAC', 0.2)]","[('kaD4T0000004dFuUAI', 5.0), ('kaD4T000000bnF6UAI', 1.2), ('kaD4T000000PMkHUAW', 1.0), ('kaD4T000000XiA1UAK', 0.5833333333333333), ('kaD4T000000PMd0UAG', 0.5833333333333333)]"
What are the state requirements for Hawaii State ID cards,"STATE REQUIREMENTS
Generally, State facilities do not accept electronic ID Cards when requesting proof of insurance. ID Cards must print on state approved fraud resistant paper. Faxed or Emailed ID Cards are not valid proof of insurance.

As a courtesy, the company may fax or mail ID cards per the customer's request. There are specific letters designed to accommodate the State's requirements: 
Refer to: Customer Service Manual Letters
NOTE: PRIOR TO SENDING CUSTOMERS EMAILS CONTAINING CONFIDENTIAL INFORMATION, REVIEW THE EMAIL PROCESS WITHIN ARTICLE: Does an email sent through SRM need to be encrypted?",ID Cards must print on state approved fraud resistant paper. Faxed or Emailed ID Cards are not valid proof of insurance.,kaD4T000000Xls5UAC,,Fail,Wrong Summarization within Article; First section is corect but incomplete. Second section is not from the article.,Farmers HI,foobar,[],"[('kaD4T000000Xls5UAC', 3.0), ('kaD4T000000PGaZUAW', 1.0333333333333332), ('kaD4T000000PGaoUAG', 0.8333333333333333), ('kaD4T000000PL7OUAW', 0.5833333333333333), ('kaD4T000000PKZQUA4', 0.5)]"
Can I offer an extension on an account with a DNOC?,The article doesn't excplicity say it offers extension. Expecting answer not found reply.," Yes, extensions on DNOCs may be available. See Billing: Extensions - What are the Extension Guidelines and Process?",kaD4T000000Xl3xUAC,kaD4T000000Xl3xUAC,Partial Pass,nan; nan,Commercial,foobar,"[('kaD4T000000Xl3xUAC', 2.5333333333333337), ('kaD1L000000Q8DDUA0', 0.2)]","[('kaD4T000000TSWTUA4', 3.333333333333333), ('kaD4T000000Xl3xUAC', 2.733333333333334), ('kaD4T0000008P3VUAU', 2.0), ('kaD4T000000GrbqUAC', 1.1166666666666667), ('kaD4T000000Xmg0UAC', 1.0)]"
What are the state requirements for HI State Identification Cards?,"STATE REQUIREMENTS
Generally, State facilities do not accept electronic ID Cards when requesting proof of insurance. ID Cards must print on state approved fraud resistant paper. Faxed or Emailed ID Cards are not valid proof of insurance.

As a courtesy, the company may fax or mail ID cards per the customer's request. There are specific letters designed to accommodate the State's requirements: 
Refer to: Customer Service Manual Letters
NOTE: PRIOR TO SENDING CUSTOMERS EMAILS CONTAINING CONFIDENTIAL INFORMATION, REVIEW THE EMAIL PROCESS WITHIN ARTICLE: Does an email sent through SRM need to be encrypted?",ID Cards must print on state approved fraud resistant paper. Faxed or Emailed ID Cards are not valid proof of insurance.,kaD4T000000Xls5UAC,,Fail,Wrong Summarization within Article; First section is corect but incomplete. Second section is not from the article.,Farmers HI,foobar,[],"[('kaD4T000000Xls5UAC', 4.0), ('kaD4T0000004eFMUAY', 1.0), ('kaD4T000000PGaZUAW', 0.8333333333333333), ('kaD4T000000PL7OUAW', 0.8333333333333333), ('kaD4T000000PGaoUAG', 0.7833333333333333)]"
Does Texas have loss run request?,Any varation of no or not available for the state of Texas," 
Based on the context provided, Texas is not listed as a state with specific loss run requirements. 
",kaD4T000000HJHVUA4,kaD4T000000PM5cUAG,Pass,nan; nan,Commercial,foobar,"[('kaD4T000000HJHVUA4', 2.0), ('kaD4T000000PM5cUAG', 0.2)]","[('kaD4T000000HJHVUA4', 5.0), ('kaD4T000000HIbFUAW', 2.3333333333333335), ('kaD4T000000XnRLUA0', 1.8333333333333333), ('kaD4T000000PM5cUAG', 0.9), ('kaD4T000000PHR4UAO', 0.8999999999999999)]"
What is considered as park models?,"Park models are under 400 sq. ft. and are usually built to ANSI code. Park models are primarily designed for long-term or permanent placement at a destination where an RV or mobile home is allowed. When set up, park models are connected to the utilities necessary to operate home style fixtures and appliances."," Park Model Recreational Units (park model trailers) are defined as recreational vehicles that are built on a single chassis and are less than 400 square feet with a maximum width of 14 feet. They are typically used for temporary accommodations for recreation, camping, or seasonal use, but can also be used as a primary residence. Park models must be permanently sited with full utility hook-up and have a gross trailer area not exceeding 400 square feet in the set-up mode.",kaD4T0000008xhLUAQ,"kaD1L000000QERvUAO
kaD4T0000008xhLUAQ",Pass,nan; nan,Specialty,foobar,"[('kaD4T0000008xhLUAQ', 1.0), ('kaD1L000000QERvUAO', 0.5), ('kaD4T0000004fO0UAI', 0.5)]","[('kaD4T0000004fMsUAI', 3.25), ('kaD4T0000004fO0UAI', 2.5), ('kaD4T0000008xhLUAQ', 1.25), ('kaD4T00000007ZoUAI', 0.7833333333333332), ('kaD1L000000QERvUAO', 0.5)]"
How do I cancel a Policy?,"1.	Start on the customer's Account File Summary screen in PolicyCenter.
2.	Click the policy term hyperlink corresponding with the desired effective date in the Policy Terms section or change the date on the calendar.
3.	Click the Actions button.
4.	Select Cancel Policy.
5.	Select an option from the Source drop-down menu.
6.	Select an option from the Reason drop-down menu.
7.	Enter the effective date in the Cancellation Effective Date field.
8.	Click Start Cancellation.
9.	Upload documentation on the Documents tab. Retroactive transactions within 60 days of the current date do not require approval.
10.	Click Bind Options and select Cancel Now to complete the cancellation."," To cancel a policy, you can call Farmers Insurance customer service at 1-800-435-7764. You will need to provide your policy number and the reason for cancellation. You can also cancel your policy online by logging into your account and following the instructions. If you cancel your policy within the first 30 days, you will receive a full refund. If you cancel your policy after 30 days, you will receive a prorated refund.
",kaD4T000000XnxLUAS,"kaD4T000000Xm96UAC
kaD4T000000XmQRUA0",Fail,"Missunderstood the question; Asked how to cancel but receive ans for ""who can cancel""",Farmers,foobar,"[('kaD4T000000Xm96UAC', 1.25), ('kaD1L000000PygEUAS', 1.0), ('kaD4T000000XmQRUA0', 0.5), ('kaD4T000000XnxLUAS', 0.2)]","[('kaD1L000000PygEUAS', 2.8333333333333335), ('kaD4T000000brLyUAI', 2.5), ('kaD4T000000Xm96UAC', 1.25), ('kaD4T000000Xaz6UAC', 1.0), ('kaD4T000000XnxLUAS', 0.7833333333333332)]"
